date month year variable value units
8/1/2011 8 1911 TLG 0.0638 MAF
9/1/2011 9 1911 TLG 0.0156 MAF
10/1/2011 10 1911 TLG 0.00935 MAF
11/1/2011 11 1911 TLG 0.00845 MAF
12/1/2011 12 1911 TLG 0.0139 MAF
1/1/2012 1 1912 TLG 0.0277 MAF
2/1/2012 2 1912 TLG 0.0277 MAF
3/1/2012 3 1912 TLG 0.0606 MAF
4/1/2012 4 1912 TLG 0.101 MAF
5/1/2012 5 1912 TLG 0.333 MAF
6/1/2012 6 1912 TLG 0.384 MAF
7/1/2012 7 1912 TLG 0.0658 MAF
8/1/2012 8 1912 TLG 0.0124 MAF
9/1/2012 9 1912 TLG 0.00708 MAF
10/1/2012 10 1912 TLG 0.00353 MAF
11/1/2012 11 1912 TLG 0.0265 MAF
12/1/2012 12 1912 TLG 0.0126 MAF
1/1/2013 1 1913 TLG 0.022 MAF
2/1/2013 2 1913 TLG 0.0289 MAF
3/1/2013 3 1913 TLG 0.0533 MAF
4/1/2013 4 1913 TLG 0.173 MAF
5/1/2013 5 1913 TLG 0.392 MAF
6/1/2013 6 1913 TLG 0.241 MAF
7/1/2013 7 1913 TLG 0.072 MAF
8/1/2013 8 1913 TLG 0.032 MAF
9/1/2013 9 1913 TLG 0.0245 MAF
10/1/2013 10 1913 TLG 0.0039 MAF
11/1/2013 11 1913 TLG 0.0135 MAF
12/1/2013 12 1913 TLG 0.0153 MAF
1/1/2014 1 1914 TLG 0.416 MAF
2/1/2014 2 1914 TLG 0.195 MAF
3/1/2014 3 1914 TLG 0.235 MAF
4/1/2014 4 1914 TLG 0.313 MAF
5/1/2014 5 1914 TLG 0.568 MAF
6/1/2014 6 1914 TLG 0.541 MAF
7/1/2014 7 1914 TLG 0.259 MAF
8/1/2014 8 1914 TLG 0.0524 MAF
9/1/2014 9 1914 TLG 0.0116 MAF
10/1/2014 10 1914 TLG 0.00555 MAF
11/1/2014 11 1914 TLG 0.0054 MAF
12/1/2014 12 1914 TLG 0.0075 MAF
1/1/2015 1 1915 TLG 0.0561 MAF
2/1/2015 2 1915 TLG 0.2 MAF
3/1/2015 3 1915 TLG 0.18 MAF
4/1/2015 4 1915 TLG 0.303 MAF
5/1/2015 5 1915 TLG 0.472 MAF
6/1/2015 6 1915 TLG 0.578 MAF
7/1/2015 7 1915 TLG 0.208 MAF
8/1/2015 8 1915 TLG 0.0236 MAF
9/1/2015 9 1915 TLG 0.00573 MAF
10/1/2015 10 1915 TLG 0.00484 MAF
11/1/2015 11 1915 TLG 0.00363 MAF
12/1/2015 12 1915 TLG 0.0111 MAF
1/1/2016 1 1916 TLG 0.221 MAF
2/1/2016 2 1916 TLG 0.183 MAF
